Content type:,Direct healthcare professional communication (DHPC),Output automatically generated from content on www.ema.europa.eu on:,21/03/2025 - 23:00,,,,,,,,,,,,
Human,Metalyse,EMEA/H/C/000306,tenecteplase,Medicine shortage,Maintenance,,B01AD11,,Myocardial Infarction,,,23/09/2022,23/09/2022,,https://www.ema.europa.eu/en/medicines/dhpc/metalyse
Human,Nulojix,EMEA/H/C/002098/II/0079/G,belatacept,Medication error,Maintenance,,L04AA28,,Graft Rejection;Kidney Transplantation,,,12/09/2022,12/09/2022,,https://www.ema.europa.eu/en/medicines/dhpc/nulojix-1
Human,Visudyne,EMEA/H/C/000305,verteporfin,Medicine shortage,Maintenance,,S01LA01,,"Myopia, Degenerative;Macular Degeneration",,,12/08/2022,12/08/2022,,https://www.ema.europa.eu/en/medicines/dhpc/visudyne-0
Veterinary,Hiprabovis IBR Marker Live,EMEA/V/C/000158,"live gE- tk- double-gene-deleted bovine herpes virus type 1, strain CEDDEL: 106.3–107.3 CCID50",Adverse event,Variation,,,QI02AD01,,Cattle,,11/08/2022,11/08/2022,,https://www.ema.europa.eu/en/medicines/dhpc/hiprabovis-ibr-marker-live
Human,Cetrotide,EMEA/H/C/000233,cetrorelix (as acetate),Medicine shortage,Maintenance,,H01CC02,,Ovulation;Ovulation Induction,,,09/08/2022,09/08/2022,09/08/2022,https://www.ema.europa.eu/en/medicines/dhpc/cetrotide
Human,Rubraca,EMEA/H/A-20/1518/C/4272/0033,Rucaparib camsylate,Referral - Article 20 procedure;Restriction of indication,Variation,Rubraca,L01XX,,Ovarian Neoplasms,,,12/08/2022,08/08/2022,,https://www.ema.europa.eu/en/medicines/dhpc/rubraca
Human,Hydroxyethyl starch,,hydroxyethyl starch,Post-authorisation measure,Suspension,Hydroxyethyl starch (HES) containing medicinal products,,,,,,30/06/2022,30/06/2022,26/07/2022,https://www.ema.europa.eu/en/medicines/dhpc/hydroxyethyl-starch
Human,Imlygic,EMEA/H/C/002771,talimogene laherparepvec,Adverse event;Quality defect,Variation,,L01XX51,,Melanoma,,,16/06/2022,16/06/2022,,https://www.ema.europa.eu/en/medicines/dhpc/imlygic
Human,Dexdor,EMEA/H/C/002268/II/0035,Dexmedetomidine hydrochloride,Safety signal,Maintenance,,N05CM18,,Conscious Sedation,,,16/06/2022,16/06/2022,,https://www.ema.europa.eu/en/medicines/dhpc/dexdor
Human,Defitelio,EMEA/H/C/004093/II/0030,defibrotide,Lack of effect;Safety signal,Maintenance,,B01AX01,,Hepatic Veno-Occlusive Disease,,,13/06/2022,13/06/2022,,https://www.ema.europa.eu/en/medicines/dhpc/defitelio
Human,Ocaliva,EMEA/H/C/004093/II/0030,Obeticholic acid,New contraindication,Variation,,A05AA04,,"Liver Cirrhosis, Biliary",,,09/06/2022,09/06/2022,,https://www.ema.europa.eu/en/medicines/dhpc/ocaliva
Human,Lymphoseek,EMEA/H/C/002085,tilmanocept,Medicine shortage,Maintenance,,V09IA09,,Radionuclide Imaging,,,30/05/2022,30/05/2022,,https://www.ema.europa.eu/en/medicines/dhpc/lymphoseek-0
Human,Rubraca,EMEA/H/A-20/1518/C/4272/0033,Rucaparib camsylate,Referral - Article 20 procedure,Variation,Rubraca,L01XX,,Ovarian Neoplasms,,,05/05/2022,06/05/2022,,https://www.ema.europa.eu/en/medicines/dhpc/rubraca-0
Human,Natpar,EMEA/H/C/003861,parathyroid hormone,Medicine shortage,Maintenance,,H05AA03,,Hypoparathyroidism,,,29/04/2022,29/04/2022,,https://www.ema.europa.eu/en/medicines/dhpc/natpar
Human,Remicade / Flixabi / Inflectra / Remsima / Zessly,EMEA/H/C/000240/IB/233,infliximab,New contraindication,Variation,,L04AB02,,"Spondylitis, Ankylosing;Arthritis, Rheumatoid;Psoriasis;Crohn Disease;Arthritis, Psoriatic;Colitis, Ulcerative",,,07/03/2022,07/03/2022,,https://www.ema.europa.eu/en/medicines/dhpc/remicade-flixabi-inflectra-remsima-zessly
Human,Xagrid,EMEA/H/C/000480/II/091,Anagrelide,Safety signal,Variation,,L01XX35,,"Thrombocythemia, Essential",,,22/02/2022,22/02/2022,,https://www.ema.europa.eu/en/medicines/dhpc/xagrid
Human,Mavenclad,,Cladribine,Adverse event,Variation,,L04AA40,,Multiple Sclerosis,,,14/02/2022,14/02/2022,,https://www.ema.europa.eu/en/medicines/dhpc/mavenclad
Human,Nulojix,,belatacept,Medicine shortage,Maintenance,,L04AA28,,Graft Rejection;Kidney Transplantation,,,17/01/2022,17/01/2022,,https://www.ema.europa.eu/en/medicines/dhpc/nulojix-0
Human,Briviact (in Italy: Nubriveo),,Brivaracetam,Quality defect,Maintenance,,N03AX23,,Epilepsy,,,18/12/2021,20/12/2021,,https://www.ema.europa.eu/en/medicines/dhpc/briviact-italy-nubriveo
Human,Lymphoseek,,tilmanocept,Medicine shortage,Maintenance,,V09IA09,,Radionuclide Imaging,,,07/12/2021,07/12/2021,,https://www.ema.europa.eu/en/medicines/dhpc/lymphoseek
Human,Forxiga,EMEA/H/C/002322/II/0071,dapagliflozin propanediol monohydrate,Type II variation,Variation,,A10BK01,,"Diabetes Mellitus, Type 2",,,11/11/2021,11/11/2021,,https://www.ema.europa.eu/en/medicines/dhpc/forxiga
Human,Kevzara,,sarilumab,Medicine shortage,Variation,,L04AC14,,"Arthritis, Rheumatoid",,,09/11/2021,09/11/2021,,https://www.ema.europa.eu/en/medicines/dhpc/kevzara
Human,Beovu,EMEA/H/C/004913,Brolucizumab,Type II variation,Variation,,S01,,Wet Macular Degeneration,,,05/11/2021,05/11/2021,,https://www.ema.europa.eu/en/medicines/dhpc/beovu
Human,Visudyne,,verteporfin,Medicine shortage,,,S01LA01,,"Myopia, Degenerative;Macular Degeneration",,,05/11/2021,05/11/2021,,https://www.ema.europa.eu/en/medicines/dhpc/visudyne
Human,Vaxzevria (previously COVID-19 Vaccine AstraZeneca),,ChAdOx1-SARS-COV-2,Safety signal,Variation,,J07BX03,,COVID-19 virus infection,,,13/10/2021,13/10/2021,,https://www.ema.europa.eu/en/medicines/dhpc/vaxzevria-previously-covid-19-vaccine-astrazeneca-3
Human,Jcovden (previously COVID-19 Vaccine Janssen),EMEA/H/C/005737,adenovirus type 26 encoding the SARS-CoV-2 spike glycoprotein (Ad26.COV2-S),Safety signal,Variation,,J07BX03,,COVID-19 virus infection,,,13/10/2021,13/10/2021,,https://www.ema.europa.eu/en/medicines/dhpc/jcovden-previously-covid-19-vaccine-janssen-1
Human,Champix,,varenicline,Medicine shortage,Variation,,N07BA03,,Tobacco Use Cessation,,,30/09/2021,30/09/2021,30/09/2021,https://www.ema.europa.eu/en/medicines/dhpc/champix-0
Human,RoActemra,,tocilizumab,Medicine shortage,,,L04AC07,,"Arthritis, Rheumatoid;Arthritis, Juvenile Rheumatoid;Cytokine Release Syndrome",,,03/09/2020,02/09/2021,,https://www.ema.europa.eu/en/medicines/dhpc/roactemra
Human,Jcovden (previously COVID-19 Vaccine Janssen),EMEA/H/C/005737,adenovirus type 26 encoding the SARS-CoV-2 spike glycoprotein (Ad26.COV2-S),Safety signal,Variation,,J07BX03,,COVID-19 virus infection,,,19/07/2021,19/07/2021,,https://www.ema.europa.eu/en/medicines/dhpc/jcovden-previously-covid-19-vaccine-janssen-0
Human,Comirnaty / Spikevax (previously COVID-19 Vaccine Moderna),EMEA/H/C/005735; EMEA/H/C/005791,"Single-stranded, 5’-capped messenger RNA produced using a cell-free in vitro transcription from the corresponding DNA templates, encoding the viral spike (S) protein of SARS-CoV-2;CX-024414 (single-stranded, 5’-capped messenger RNA (mRNA) produced using a cell-free in vitro transcription from the corresponding DNA templates, encoding the viral spike (S) protein of SARS-CoV-2)",Safety signal,Variation,,J07BX;J07BX03,,COVID-19 virus infection,,,19/07/2021,19/07/2021,,https://www.ema.europa.eu/en/medicines/dhpc/comirnaty-spikevax-previously-covid-19-vaccine-moderna
Human,Champix,EMEA/H/C/000699,varenicline,Quality defect,,,N07BA03,,Tobacco Use Cessation,,,15/07/2021,15/07/2021,,https://www.ema.europa.eu/en/medicines/dhpc/champix
Human,Xeljanz,EMEA/H/C/004214,tofacitinib citrate,Safety signal,Variation,,L04AA29,,"Arthritis, Rheumatoid",,,06/07/2021,06/07/2021,,https://www.ema.europa.eu/en/medicines/dhpc/xeljanz-0
Human,Vaxzevria (previously COVID-19 Vaccine AstraZeneca),,ChAdOx1-SARS-COV-2,Safety signal,Variation,,J07BX03,,COVID-19 virus infection,,,23/06/2021,23/06/2021,,https://www.ema.europa.eu/en/medicines/dhpc/vaxzevria-previously-covid-19-vaccine-astrazeneca-2
Human,Venclyxto,EMEA/H/C/004106/II/0031,Venetoclax,Type II variation,Variation,,L01XX52,,"Leukemia, Lymphocytic, Chronic, B-Cell",,,10/06/2021,10/06/2021,,https://www.ema.europa.eu/en/medicines/dhpc/venclyxto
Human,INOmax,EMEA/H/C/000337,Nitric oxide,Quality defect,Maintenance,,R07AX,,"Hypertension, Pulmonary;Respiratory Insufficiency",,,03/06/2021,03/06/2021,,https://www.ema.europa.eu/en/medicines/dhpc/inomax
Human,Vaxzevria (previously COVID-19 Vaccine AstraZeneca),EMEA/H/C/005675/II/0014,ChAdOx1-SARS-COV-2,Type II variation,Variation,,J07BX03,,COVID-19 virus infection,,,02/06/2021,02/06/2021,,https://www.ema.europa.eu/en/medicines/dhpc/vaxzevria-previously-covid-19-vaccine-astrazeneca-1
Human,Jcovden (previously COVID-19 Vaccine Janssen),,adenovirus type 26 encoding the SARS-CoV-2 spike glycoprotein (Ad26.COV2-S),Safety signal,Variation,,J07BX03,,COVID-19 virus infection,,,26/04/2021,26/04/2021,,https://www.ema.europa.eu/en/medicines/dhpc/jcovden-previously-covid-19-vaccine-janssen
Human,Eylea,EMEA/H/C/002392/II/0068,aflibercept,Adverse event,Variation,,S01LA05,,Wet Macular Degeneration;Macular Edema;Diabetes Complications,,,15/04/2021,15/04/2021,,https://www.ema.europa.eu/en/medicines/dhpc/eylea
Human,Vaxzevria (previously COVID-19 Vaccine AstraZeneca),,ChAdOx1-SARS-COV-2,Safety signal,Variation,,J07BX03,,COVID-19 virus infection,,,13/04/2021,13/04/2021,,https://www.ema.europa.eu/en/medicines/dhpc/vaxzevria-previously-covid-19-vaccine-astrazeneca-0
Human,Respreeza,EMEA/H/C/002739,Human alpha1-proteinase inhibitor,Medicine shortage,,,B02AB02,,"Genetic Diseases, Inborn;Lung Diseases",,,26/03/2021,26/03/2021,,https://www.ema.europa.eu/en/medicines/dhpc/respreeza-0
Human,Tecentriq,EMEA/H/C/00414/II/0054,atezolizumab,Adverse event,Variation,,L01FX06,,"Carcinoma, Transitional Cell;Carcinoma, Non-Small-Cell Lung;Urologic Neoplasms;Breast Neoplasms;Small Cell Lung Carcinoma",,,25/03/2021,18/03/2021,25/03/2021,https://www.ema.europa.eu/en/medicines/dhpc/tecentriq
Human,Xeljanz,,tofacitinib citrate,Safety signal,,,L04AA29,,"Arthritis, Rheumatoid",,,24/03/2021,24/03/2021,,https://www.ema.europa.eu/en/medicines/dhpc/xeljanz
Human,Vaxzevria (previously COVID-19 Vaccine AstraZeneca),,Chimpanzee Adenovirus encoding the SARS CoV 2 Spike glycoprotein (ChAdOx1-S),Safety signal,Variation,,J07BX03,,COVID-19 virus infection,,,24/03/2021,24/03/2021,,https://www.ema.europa.eu/en/medicines/dhpc/vaxzevria-previously-covid-19-vaccine-astrazeneca
Human,Strimvelis,EMEA/H/C/003854/R/0029,autologous CD34+ enriched cell fraction that contains CD34+ cells transduced with retroviral vector that encodes for the human adenosine deaminase (ADA) cDNA sequence from human haematopoietic stem/progenitor (CD34+) cells,Adverse event,Maintenance,,L03,,Severe Combined Immunodeficiency,,,22/03/2021,22/03/2021,,https://www.ema.europa.eu/en/medicines/dhpc/strimvelis
Human,Zolgensma,EMEA/H/C/004750/II/0008,Onasemnogene abeparvovec,Type II variation,Variation,,M09AX09,,,,,18/03/2021,18/03/2021,,https://www.ema.europa.eu/en/medicines/dhpc/zolgensma
Human,Lojuxta,EMEA/H/C/002578/S/0043,Lomitapide,Post-authorisation measure,Maintenance,,C10AX12,,Hypercholesterolemia,,,17/02/2021,17/02/2021,,https://www.ema.europa.eu/en/medicines/dhpc/lojuxta
Human,Respreeza,,alpha1-proteinase inhibitor (human),Quality defect,,,B02AB02,,Lung Diseases,,,12/02/2021,12/02/2021,,https://www.ema.europa.eu/en/medicines/dhpc/respreeza
Human,Alkindi,,hydrocortisone,Safety signal,Variation,,H02AB09,,Adrenal Insufficiency,,,04/02/2021,04/02/2021,,https://www.ema.europa.eu/en/medicines/dhpc/alkindi
Human,Nucala,,Mepolizumab,Medicine shortage,,,R03DX09,,Asthma,,,23/01/2021,27/01/2021,,https://www.ema.europa.eu/en/medicines/dhpc/nucala
Human,Kaletra,EMEA/H/C/000368,lopinavir;ritonavir,Quality defect,,,,,HIV Infections,,,23/12/2020,04/01/2021,,https://www.ema.europa.eu/en/medicines/dhpc/kaletra
Human,Zerbaxa,EMEA/H/C/003772,Ceftolozane;tazobactam,Quality defect,,,J01,,Bacterial Infections,,,23/12/2020,22/12/2020,,https://www.ema.europa.eu/en/medicines/dhpc/zerbaxa
Human,Metamizole,PSUSA-00001997-202003,metamizole,Periodic safety update report,Variation,,N02BB02,,,,,15/12/2020,15/12/2020,,https://www.ema.europa.eu/en/medicines/dhpc/metamizole
Human,Gliolan,EMEA/H/C/000744/II/0018/G,5-aminolevulinic acid hydrochloride,Type II variation,Variation,Cyproterone-containing medicinal products,L01XD04,,Glioma,,,01/12/2020,01/12/2020,,https://www.ema.europa.eu/en/medicines/dhpc/gliolan
Human,Tecfidera,EMEA/H/C/002601/II/0063,dimethyl fumarate,Type II variation,Variation,,L04AX07,,Multiple Sclerosis,,,12/11/2020,12/11/2020,,https://www.ema.europa.eu/en/medicines/dhpc/tecfidera
Human,Gilenya,EMEA/H/C/PSUSA/00001393/202002,Fingolimod,Periodic safety update report,Variation,,L04AA27,,Multiple Sclerosis,,,10/11/2020,10/11/2020,,https://www.ema.europa.eu/en/medicines/dhpc/gilenya
Human,Ondexxya,EMEA/H/C/004108/II/0011,andexanet alfa,Adverse event,Variation,,V03AB,,Drug-Related Side Effects and Adverse Reactions,,,04/11/2020,04/11/2020,,https://www.ema.europa.eu/en/medicines/dhpc/ondexxya-0
Human,Esbriet,EMEA/H/C/002154/II/0066/G,Pirfenidone,Type II variation,Variation,,L04AX05,,Idiopathic Pulmonary Fibrosis,,,29/10/2020,29/10/2020,,https://www.ema.europa.eu/en/medicines/dhpc/esbriet
Human,Quofenix / Quinsair,,Delafloxacin;levofloxacin,Safety signal,Variation,,J01MA23;J01MA12,,,,Ciprofloxacin; Levofloxacin; Lomefloxacin; Moxifloxacin; Norfloxacin; Ofloxacin; Pefloxacin; Prulifloxacin; Rufloxacin,29/10/2020,29/10/2020,,https://www.ema.europa.eu/en/medicines/dhpc/quofenix-quinsair
Human,Cabazitaxel Accord,EMEA/H/C/005178,cabazitaxel,Medication error,,,L01CD,,"Prostatic Neoplasms, Castration-Resistant",,,,28/10/2020,,https://www.ema.europa.eu/en/medicines/dhpc/cabazitaxel-accord
Human,Leuprorelin,EMEA/H/A-31/1486,Leuprorelin,Referral - Article 31,Variation,Leuprorelin-containing depot medicinal products,,,,,,,02/10/2020,,https://www.ema.europa.eu/en/medicines/dhpc/leuprorelin
Human,Nulojix,,belatacept,Medicine shortage,,,L04AA28,,Graft Rejection;Kidney Transplantation,,,23/09/2020,23/09/2020,,https://www.ema.europa.eu/en/medicines/dhpc/nulojix
Human,Prevymis,II/16/G,Letermovir,,Variation,,J05,,Cytomegalovirus Infections,,,,11/09/2020,,https://www.ema.europa.eu/en/medicines/dhpc/prevymis
Human,Insuman,,Insulin human,Type II variation,,,A10AB01;A10AC01,,Diabetes Mellitus,,,20/07/2020,21/07/2020,,https://www.ema.europa.eu/en/medicines/dhpc/insuman
Human,Myalepta,EMEA/H/C/004218,Metreleptin,Quality defect,,,A16AA,,"Lipodystrophy, Familial Partial",,,18/06/2020,18/06/2020,,https://www.ema.europa.eu/en/medicines/dhpc/myalepta
Human,Suboxone,EMEA/H/C/000697,buprenorphine;naloxone,Quality defect,,,N07BC51,,Opioid-Related Disorders,,,18/06/2020,18/06/2020,,https://www.ema.europa.eu/en/medicines/dhpc/suboxone
Human,Ondexxya,,andexanet alfa,Safety signal,Variation,,V03AB,,Drug-Related Side Effects and Adverse Reactions,,,17/06/2020,17/06/2020,,https://www.ema.europa.eu/en/medicines/dhpc/ondexxya
Human,Flucytosine,EMEA/H/A-31/1481,Flucytosine,Referral - Article 31,Variation,"Fluorouracil and fluorouracil related substances (capecitabine, tegafur and flucytosine) containing medicinal products",J02AX01,,,,,04/06/2020,04/06/2020,,https://www.ema.europa.eu/en/medicines/dhpc/flucytosine
Human,Xeloda / Capecitabine Accord / Capecitabine Medac / Capecitabine Teva / Ecansya (previously Capecitabine Krka) / Teysuno,EMEA/H/A-31/1488,Fluorouracil;capecitabine;tegafur,Referral - Article 31,Variation,"Fluorouracil and fluorouracil related substances (capecitabine, tegafur and flucytosine) containing medicinal products",L01BC06;L01BC53;L01BC02,,,,,04/06/2020,04/06/2020,,https://www.ema.europa.eu/en/medicines/dhpc/xeloda-capecitabine-accord-capecitabine-medac-capecitabine-teva-ecansya-previously-capecitabine-krka-teysuno
Human,Tepadina,,thiotepa,Quality defect,,,L01AC01,,Hematopoietic Stem Cell Transplantation,,,01/06/2020,02/06/2020,,https://www.ema.europa.eu/en/medicines/dhpc/tepadina
Human,Brivudine,PSUSA/00000434/201907,Brivudine,Periodic safety update single assessment,Variation,,J05AB15,,,,,12/05/2020,12/05/2020,12/05/2020,https://www.ema.europa.eu/en/medicines/dhpc/brivudine
Human,Polivy,EMEA/H/C/004870,polatuzumab vedotin,Quality defect,,,L01FX06,,"Lymphoma, B-Cell",,,,04/05/2020,,https://www.ema.europa.eu/en/medicines/dhpc/polivy
Human,Cyproterone,EMEA/H/A-31/1488,cyproterone,Referral - Article 31,Variation,Cyproterone-containing medicinal products,,,Androgen Antagonists,,,,29/04/2020,,https://www.ema.europa.eu/en/medicines/dhpc/cyproterone
Human,Esmya / Ulipristal Acetate Gedeon Richter,EMEA/H/A-31/1496,ulipristal acetate,Interim measures,Suspension,Ulipristal acetate 5mg medicinal products,,,Leiomyoma,,,23/03/2020,23/03/2020,,https://www.ema.europa.eu/en/medicines/dhpc/esmya-ulipristal-acetate-gedeon-richter
Human,Mepact,,mifamurtide,Quality defect,,,L03AX15,,Osteosarcoma,,,25/02/2020,25/02/2020,,https://www.ema.europa.eu/en/medicines/dhpc/mepact
Human,Estradiol,EMEA/H/A-31/1482,estradiol,Referral - Article 31,Variation,Estradiol-containing (0.01% w/w) medicinal products for topical use,G03CA03,,,,Linoladiol N; Linoladiol; Linoladiol Estradiol; Estradiol Wolff; Montadiol,20/02/2020,20/02/2020,,https://www.ema.europa.eu/en/medicines/dhpc/estradiol
Human,Picato,EMEA/H/A-20/1489/C/2275/1489,Ingenol mebutate,Interim measures;Referral - Article 20 procedure,Suspension,Picato,D06BX02,,"Keratosis, Actinic",,,27/01/2020,14/02/2020,,https://www.ema.europa.eu/en/medicines/dhpc/picato
Human,Ecalta,,anidulafungin,Quality defect,Variation,,J02AX06,,Candidiasis,,,,14/02/2020,,https://www.ema.europa.eu/en/medicines/dhpc/ecalta
